reaction,Bsubtilis,Ecoli,Gmetallireducens,Kpneumoniae,Scerevisiae
23CN2P1,0,NA,NA,NA,NA
3NUCLE1,1,NA,NA,NA,NA
ADNK1,0,0,0,0,0
NTD7,0,0,NA,0,0
PUNP1,0,0,0,0,0
ADD,0,0,0,0,0
ADPT,0,0,0,0,0
AHCYSNS,1,3,NA,1,NA
MTAN,7,0,NA,7,NA
PPM,0,0,0,0,0
PUNP2,0,0,NA,0,0
PUNP3,0,0,NA,0,0
PUNP5,0,0,NA,0,0
PUNP7,0,0,NA,NA,0
PUNP8,0,NA,NA,NA,NA
PYNP1,0,NA,NA,NA,NA
PYNP2r,0,0,NA,0,0
PNP,1,NA,NA,NA,2
HXPRT,0,0,0,0,0
PUNP6,1,0,NA,0,0
HXAND,0,0,NA,NA,NA
ATPPRT,3,3,3,3,3
GUAPRT,0,0,0,0,0
NAPRT,0,NA,NA,NA,0
ORPT,1,1,1,1,1
PRPPS,0,0,0,0,0
AMMQT7,0,NA,NA,NA,NA
CYTOM,0,NA,NA,NA,NA
RHCYS,0,NA,NA,NA,NA
UPP3MT_2,2,NA,NA,NA,NA
MTRK,6,NA,NA,6,NA
SPMS,0,0,2,8,0
SPRMS,0,NA,NA,NA,1
ADPRDP,0,0,0,0,NA
PYRIS,0,NA,NA,NA,NA
RBK,0,0,0,0,0
RPI,0,0,0,0,0
TKT1,0,0,0,0,0
DADNK,0,NA,NA,NA,NA
DURIPP,0,0,NA,0,0
NTD6,0,0,NA,0,0
PPM2,0,1,NA,1,NA
PUNP4,0,0,NA,0,0
TMDPP,0,0,NA,1,0
3NUCLE4,1,NA,NA,NA,NA
GUAD,0,0,NA,0,0
NTD9,0,0,NA,0,0
NTD10,0,0,NA,1,0
XAND,2,6,NA,4,NA
XPPT,0,0,NA,0,0
3NUCLE3,1,NA,NA,NA,NA
CYTD,0,0,NA,0,0
CYTDK1,0,NA,NA,NA,NA
CYTDK2,0,0,NA,0,0
ITCY,0,NA,NA,NA,NA
NTD4,0,2,NA,3,1
3NUCLE2,1,NA,NA,NA,NA
NTD2,0,0,NA,0,0
UPPRT,0,0,0,0,0
URIK1,0,NA,NA,NA,0
URIK2,0,0,NA,0,0
URIK3,0,NA,NA,NA,NA
NMNHYD,1,NA,NA,NA,NA
NNAM,0,0,0,0,0
ADSS,0,0,1,0,0
ANPRT,2,3,2,3,2
GLUPRT,0,0,0,0,0
GMPR,0,0,NA,0,NA
IMPC,0,0,0,0,0
IMPD,0,0,0,0,0
NNDPR,0,0,0,0,0
DINSK,0,NA,NA,NA,NA
PRATPP,2,2,2,2,2
GK1,0,0,0,0,0
GK2,0,NA,NA,NA,0
GMPS2,0,0,0,0,0
NNATr,1,1,1,1,1
DHORDi,0,NA,NA,NA,0
OMPDC,0,0,0,0,0
ADMDC,0,0,NA,0,0
AMAOTr,2,1,2,1,0
CYOR3m,1,NA,NA,NA,NA
CYTB_B2,0,NA,NA,NA,NA
CYTB_B3,0,NA,NA,NA,NA
DHNAOT7,0,NA,NA,NA,NA
METAT,0,0,0,0,0
NTR3B,1,NA,NA,NA,NA
MCSNAH,0,NA,NA,NA,NA
CYSTS,0,NA,NA,0,0
METS,0,0,0,0,0
SHCHD2_1,1,NA,NA,NA,NA
UPP3S,5,2,1,2,2
MTRI,5,NA,0,5,2
AGMT,0,0,NA,0,NA
SPMDAT1,0,0,NA,0,0
SPMDAT3,0,NA,NA,NA,NA
DRPA,0,0,NA,0,NA
EDA,0,0,NA,0,NA
FBA,0,0,0,0,0
GAPDi_nadp,0,NA,NA,NA,NA
GLNS,1,2,1,2,2
TALA,0,0,0,0,0
TGBPA,0,0,NA,0,NA
TKT2,0,0,0,0,0
TPI,0,0,0,0,0
TRPS1,0,0,0,0,0
DB4PS,0,0,0,0,0
GND,0,0,0,0,0
RBK_Dr,0,NA,NA,0,NA
RPE,0,0,0,0,0
DXPS,1,0,1,0,NA
GAPD,0,0,0,0,0
RBP4E,0,0,NA,0,NA
XYLK,0,0,NA,0,0
DADK,0,0,0,0,0
DCYTD,0,0,NA,0,0
DURIK1,0,0,NA,0,0
NTD1,0,0,NA,0,0
DRBK,0,NA,NA,NA,NA
DGNSK,0,NA,NA,NA,NA
NTD8,0,0,NA,0,0
NTD5,0,0,NA,0,0
TMDK1,0,0,NA,0,0
23CN2P4,0,NA,NA,NA,NA
URIC,1,5,NA,3,NA
23CN2P3,0,NA,NA,NA,NA
CYTK1,0,0,0,0,0
CMPDAi,0,NA,0,NA,NA
NDPK1,11,0,0,0,0
RNDR2,0,0,0,0,0
NDPK9,0,NA,NA,NA,NA
CDGPT_BS,2,NA,NA,NA,NA
CDPDSP_BS,1,NA,NA,NA,NA
LIPO1S24_BS,0,NA,NA,NA,NA
LIPO2S24_BS,0,NA,NA,NA,NA
LIPO3S24_BS,0,NA,NA,NA,NA
LIPO4S24_BS,0,NA,NA,NA,NA
MECDPS,11,0,0,9,NA
TECA1S45,0,NA,NA,NA,NA
TECA2S45,0,NA,NA,NA,NA
TECA3S45,0,NA,NA,NA,NA
23CN2P2,0,NA,NA,NA,NA
PAPPT3,0,0,0,0,NA
TECA4S_BS,0,NA,NA,NA,NA
TEICH45,0,NA,NA,NA,NA
UMPK,0,0,0,0,0
NMNAT,0,0,NA,0,0
ADSL1r,0,0,0,0,0
ARGSS,0,0,0,0,0
ASNN,0,0,NA,0,0
ASPK,0,0,0,0,0
ASPTA,0,0,0,0,0
PRASCSi,0,0,1,0,0
ANS,0,0,0,0,0
PRAIi,1,2,1,2,1
ABTA,0,3,NA,0,1
ACGS,0,1,0,1,NA
ACOTA,0,1,0,1,NA
ALATA_L,0,0,0,0,0
APTA1i,0,NA,NA,NA,NA
DHFS,0,0,0,0,0
GLU5K,1,1,3,1,2
GLUDxi,0,NA,NA,0,0
GLUR,0,0,1,0,NA
GLUTRS,10,7,6,7,0
HSTPTr,7,NA,NA,NA,NA
ILETA,0,1,1,1,4
LEUTA,0,NA,1,NA,1
ORNTAC_1,0,NA,NA,NA,NA
PHETA1,0,1,1,1,1
PRAGSr,0,0,0,0,0
PSERT,1,1,1,1,1
TYRTA,0,1,1,1,NA
VALTA,0,0,1,0,4
AICART,0,0,0,0,0
QULNS,0,0,0,0,0
PRAMPC_1,1,NA,NA,NA,NA
ADCS,1,1,1,1,1
AHSERL4,0,NA,NA,NA,NA
ALAR,2,0,0,0,NA
ALDD31_1,0,NA,NA,NA,NA
AMAA,0,NA,NA,NA,NA
ARGKr,0,NA,NA,NA,NA
ARGSL,4,3,8,1,3
ASNS1,1,0,1,0,2
CBPS,0,0,0,0,0
CLPNS2_BS,0,NA,NA,NA,NA
CTPS1,0,NA,0,NA,0
CTPS2,0,0,0,0,0
CYSS_2,0,NA,NA,NA,NA
CYSTGL,0,NA,NA,0,0
DAPDC,2,0,1,2,NA
FGLU_1,1,NA,NA,NA,NA
FMETDF,0,NA,NA,NA,NA
G3PD4,0,NA,NA,NA,NA
GALT,0,NA,NA,NA,0
GALUi,0,0,0,0,0
GF6PTA,0,0,1,0,0
GHMT2r,0,0,0,0,0
GLUN,0,0,NA,0,0
GLUSy,0,0,NA,0,NA
GLYAT,0,0,NA,0,4
HISDr,4,NA,NA,4,NA
HISTD,5,1,1,6,1
IG3PS_1,1,NA,NA,NA,NA
ILEDHr,0,NA,NA,NA,NA
LLEUDr,0,NA,NA,NA,NA
LYSAM,0,NA,NA,NA,NA
LYSLG_BS,0,NA,NA,NA,NA
METSR_R1,0,NA,NA,NA,NA
METSR_S1,0,NA,NA,NA,NA
MTHFC,0,0,0,0,0
NADH4,0,NA,NA,NA,NA
NADK1,0,NA,NA,NA,NA
NDPK2,0,1,0,1,0
NDPK3,0,0,0,0,0
NDPK4,1,1,1,1,0
NDPK5,1,0,2,0,0
NDPK7,1,0,1,0,0
NDPK8,0,0,1,0,0
ORNTA_1,0,NA,NA,NA,NA
P5CD,0,0,0,0,NA
P5CR,1,0,2,0,1
PGPPH_BS,1,NA,NA,NA,NA
PPNCL,1,NA,1,NA,NA
PPTGS_BS,1,NA,NA,NA,NA
PRFGS_1,3,NA,NA,NA,NA
PSDC_BS,0,NA,NA,NA,NA
PSP_L,0,0,0,0,0
SARCOX,0,0,NA,0,NA
SERAT,0,0,0,0,0
SHSL3,0,NA,NA,NA,NA
SUCD5_BS,0,NA,NA,NA,NA
THRS,3,4,0,4,3
UAGDP,0,0,0,0,NA
UGT1_BS,0,NA,NA,NA,NA
UGT2_BS,0,NA,NA,NA,NA
UGT_BS,0,NA,NA,NA,NA
UNK5,0,NA,NA,NA,NA
VALDHr,0,NA,NA,NA,NA
NADK2,0,NA,NA,NA,NA
RNDR1,0,0,0,0,0
NADS1,0,0,0,0,0
ASPO6,0,0,NA,0,NA
ASPO1,0,NA,NA,NA,NA
CAT,0,0,NA,0,0
DALAOX,0,NA,NA,NA,NA
DHORTS,0,0,0,0,1
GLYCTO1,0,NA,NA,NA,NA
GLYO1,0,NA,NA,NA,NA
METSR_R2,0,NA,NA,NA,NA
METSR_S2,0,NA,NA,NA,NA
SPODM,0,0,0,0,NA
AOXSr,0,NA,NA,0,NA
DBTS,1,0,0,0,2
CYOO3,0,NA,NA,NA,NA
HEXTT,0,NA,NA,NA,NA
NPHS,0,NA,NA,0,NA
NTRIR2x,0,NA,NA,0,NA
CYSTL,0,0,0,0,0
SHSL2,0,NA,NA,NA,NA
DHFR,0,0,0,0,0
LAAL19,0,NA,NA,NA,NA
LAAL20,0,NA,NA,NA,NA
LAAL21,0,NA,NA,NA,NA
LAAL22,0,NA,NA,NA,NA
LAAL23,0,NA,NA,NA,NA
LAAL28,0,NA,NA,NA,NA
LAAL32,0,NA,NA,NA,NA
LAAL42,0,NA,NA,NA,NA
METTRS,0,0,0,0,0
MTHFR3,0,NA,0,NA,0
SHCHF_2,0,NA,NA,NA,NA
HMBS,6,3,2,3,3
UPPDC1,4,1,0,1,1
MDRPD,4,NA,NA,4,1
ALLTAHr,0,NA,NA,NA,1
ARGDC,1,1,6,NA,NA
UREA,0,NA,NA,0,NA
MACCOAT,0,NA,NA,NA,NA
ACACT1r,0,0,0,0,0
ACACT2r,0,0,0,0,NA
ACACT3r,0,0,0,0,NA
ACACT4r,0,0,0,0,NA
ACACT5r_1,0,NA,NA,NA,NA
ACACT6r_1,0,NA,NA,NA,NA
ACACT7r,0,0,0,0,NA
ACPS1,1,0,0,0,NA
ACS,0,0,0,0,0
ACS2,0,NA,0,NA,NA
ACTD2,0,NA,NA,NA,NA
AGPATr_BS,0,NA,NA,NA,NA
AKGDH,0,0,0,0,NA
CHCOAL,0,NA,NA,NA,NA
FACOAL140,0,NA,NA,NA,0
FACOAL140_ISO,0,NA,NA,NA,NA
FACOAL150_ISO,0,NA,NA,NA,NA
FACOAL150_anteiso,0,NA,NA,NA,NA
FACOAL160,0,NA,NA,NA,0
FACOAL160_ISO,0,NA,NA,NA,NA
FACOAL161,0,NA,NA,NA,0
FACOAL161_ISO,0,NA,NA,NA,NA
FACOAL170_ISO,0,NA,NA,NA,NA
FACOAL170_anteiso,0,NA,NA,NA,NA
FACOAL171_ISO,0,NA,NA,NA,NA
FACOAL171_anteiso,0,NA,NA,NA,NA
FACOAL180_2,0,NA,NA,NA,NA
FACOAL181,0,NA,NA,NA,0
G1PACT,0,0,0,0,NA
HMGCOAS,0,NA,NA,NA,0
HMGL,0,NA,0,NA,NA
HSST,2,0,NA,0,NA
MMSAD1,0,NA,NA,NA,NA
MMSAD2,0,NA,NA,0,NA
MMSAD3,0,NA,NA,0,NA
MMSDHir,0,NA,NA,NA,NA
OIVD1r,0,NA,0,NA,NA
OIVD2,6,NA,0,NA,NA
OIVD3,1,NA,0,NA,NA
PBUTT,0,NA,0,NA,NA
PDH,0,0,0,0,NA
PTA2,0,0,0,0,NA
PTAr,0,0,0,0,NA
SUCBZL,1,2,NA,1,NA
SUCOAS,0,0,0,0,NA
ALCD2y,0,NA,NA,NA,NA
ALDD2x,0,0,0,0,NA
ETHAAL,0,0,NA,0,NA
FDMO1,0,NA,NA,NA,NA
ACHBS,3,2,2,0,NA
ACLS,4,2,2,6,NA
DDGLK,1,0,NA,0,NA
DHDPS,2,1,1,1,NA
LDH_L,0,NA,NA,NA,NA
MCITL2,0,0,0,NA,NA
PC,0,NA,0,NA,0
PPS,0,0,0,0,NA
X00002,0,NA,NA,NA,NA
ALKP,0,NA,NA,NA,NA
FRUK,0,0,NA,0,0
FBA2,1,NA,NA,NA,2
FBP,0,0,0,0,0
G3PD1ir,0,NA,0,NA,0
INSCR,0,NA,NA,NA,NA
MGSA,0,0,NA,4,0
PFK,0,0,0,0,0
